optimizer,cpu,memory,time,epochs,predictions,dataset,loss,accuracy
sgd,56.35,31.55,37.2724,2,435.0031,16,0.07841,0.95833
rmsprop,43.225,46.9,38.0692,2,391.5027,16,0.1147,0.96354
adadelta,61.25,58.775,37.4767,2,435.0031,1,1.01016,0.43229
adagrad,57.5,42.875,34.4907,2,174.0012,14,0.30865,0.88542
adam,56.0,56.05,34.4701,2,348.0024,15,0.12981,0.91667
adamax,50.25,44.05,29.7403,2,43.5003,15,0.13939,0.96354
ftrl,55.275,29.775,37.5874,2,435.0031,15,0.3477,0.84896
nadam,54.8,26.275,32.3842,2,130.5009,16,0.05923,0.98438
sgd,51.9,39.3,36.7994,2,217.5015,14,0.10824,0.96354
rmsprop,61.925,25.225,32.6129,2,130.5009,15,0.04865,0.97917
adadelta,46.175,44.2,29.0343,2,43.5003,8,0.75421,0.48958
adagrad,57.25,23.3,44.1124,2,391.5027,14,0.35385,0.84375
adam,60.05,48.6,49.6777,2,391.5027,16,0.13516,0.95312
adamax,55.125,53.65,38.0067,2,391.5027,14,0.2243,0.91146
ftrl,57.275,25.15,42.0204,2,348.0024,15,0.30142,0.84896
nadam,53.075,52.675,31.863,2,43.5003,16,0.04057,0.98438
sgd,61.475,66.225,30.3626,2,130.5009,16,0.06031,0.97917
rmsprop,48.725,48.675,36.3711,2,217.5015,16,0.03685,0.98438
adadelta,61.975,57.7,32.2482,2,130.5009,8,0.88657,0.40625
adagrad,51.5,56.8,32.552,2,217.5015,15,0.27613,0.875
adam,57.25,65.3,27.9505,2,304.5021,15,0.09332,0.96354
adamax,56.25,35.225,36.1804,2,261.0018,15,0.1269,0.95312
ftrl,53.475,30.3,38.6719,2,435.0031,16,0.28097,0.91146
nadam,50.075,28.05,39.5669,2,130.5009,15,0.0674,0.96875
sgd,60.45,27.6,37.7722,2,348.0024,16,0.07559,0.96354
rmsprop,55.35,55.425,33.017,2,348.0024,14,0.10389,0.95833
adadelta,61.975,46.95,37.4355,2,348.0024,8,0.68649,0.52083
adagrad,47.85,63.45,30.8291,2,217.5015,15,0.26023,0.89583
adam,55.025,57.675,31.6257,2,261.0018,16,0.06261,0.97917
adamax,50.275,44.275,39.8042,2,391.5027,14,0.19925,0.92708
ftrl,55.85,54.1,36.1716,2,435.0031,16,0.3737,0.80208
nadam,52.05,31.55,34.6533,2,130.5009,16,0.10858,0.95312
sgd,54.425,36.75,35.7018,2,174.0012,16,0.06407,0.97917
rmsprop,51.2,44.0,35.8267,2,130.5009,16,0.08035,0.97917
adadelta,51.75,57.325,32.1155,2,348.0024,8,1.12913,0.29688
adagrad,47.4,45.675,43.3733,2,348.0024,15,0.27977,0.875
adam,54.525,52.35,30.8128,2,43.5003,15,0.04463,0.97917
adamax,53.8,52.025,36.5249,2,391.5027,15,0.18073,0.92708
ftrl,61.975,46.85,33.6975,2,43.5003,16,0.21152,0.95833
